state,n,nA,nB,rewardA,rewardB,mn_rewardA,mn_rewardB
"[1, 1, 1, 0, 1]",539086,147678,391408,14324,37029,0.09699481303917984,0.09460460695744594
"[0, 1, 0, 0, 0]",529397,378213,151184,35964,14511,0.09508927509102014,0.09598237908773415
"[1, 1, 0, 1, 0]",257242,108297,148945,10298,14197,0.0950903533800567,0.09531706334553022
"[0, 1, 0, 1, 1]",288250,131869,156381,12642,15003,0.09586786886986327,0.09593876493947474
"[0, 0, 0, 1, 1]",530470,384684,145786,36688,14236,0.09537178567343586,0.09764998010782928
"[0, 1, 1, 1, 0]",271469,126803,144666,12078,13884,0.09525011237904465,0.09597279250134794
"[0, 0, 1, 0, 1]",270671,158282,112389,15034,10738,0.09498237323258488,0.09554315813825197
"[1, 1, 1, 1, 1]",3884752,536206,3348546,51118,320959,0.09533276390044125,0.09585025858984765
"[0, 1, 1, 1, 1]",779916,352821,427095,33683,40886,0.09546767340946259,0.09573045809480327
"[0, 0, 0, 0, 0]",3649569,3160676,488893,302476,46393,0.09569978067982925,0.09489397475521229
"[0, 0, 1, 1, 0]",419293,247779,171514,23720,16165,0.09573046949095766,0.09424886598178574
"[0, 0, 0, 1, 0]",525213,381062,144151,36059,13833,0.09462764589489374,0.09596187331340053
"[0, 1, 0, 0, 1]",271286,158240,113046,15217,10823,0.09616405460060667,0.09573978734320542
"[1, 0, 1, 1, 1]",606265,183551,422714,17572,39943,0.09573361082206035,0.09449178404311188
"[1, 1, 0, 1, 1]",562329,162387,399942,15507,38066,0.09549409743390788,0.09517880092613429
"[1, 0, 0, 0, 1]",284893,151245,133648,14502,12954,0.09588416145988297,0.09692625404046451
"[0, 0, 1, 0, 0]",526648,376608,150040,36187,14555,0.09608664712379981,0.09700746467608638
"[1, 0, 1, 0, 0]",259394,145038,114356,13840,10752,0.09542326838483707,0.09402217636153766
"[1, 0, 0, 1, 0]",257436,139039,118397,13210,11473,0.09500931393350068,0.09690279314509659
"[0, 0, 1, 1, 1]",577471,287592,289879,27833,27628,0.09677946535369551,0.0953087322641516
"[1, 0, 0, 1, 1]",456425,137139,319286,13123,30304,0.0956912329825943,0.09491177189103187
"[1, 0, 0, 0, 0]",697162,388151,309011,37053,29163,0.09546027190449077,0.09437528113885914
"[0, 1, 1, 0, 1]",265790,124080,141710,11863,13530,0.0956076724693746,0.09547667772210854
"[1, 1, 0, 0, 1]",432809,177760,255049,16804,24178,0.09453195319531953,0.0947974702900227
"[1, 1, 1, 1, 0]",691361,208894,482467,20052,45880,0.09599126829875439,0.09509458678002848
"[1, 0, 1, 0, 1]",255103,107263,147840,10274,14054,0.09578326170254421,0.09506222943722943
"[0, 0, 0, 0, 1]",755912,537911,218001,51445,20766,0.09563849781841234,0.09525644377778084
"[0, 1, 1, 0, 0]",422218,300129,122089,28391,11698,0.09459599039079862,0.09581534782003293
"[0, 1, 0, 1, 0]",247364,143685,103679,13794,9850,0.09600167032049274,0.09500477435160447
"[1, 1, 0, 0, 0]",437815,249455,188360,23759,17896,0.09524363111583252,0.09500955616903801
"[1, 1, 1, 0, 0]",438551,128703,309848,12213,29233,0.09489289293955852,0.0943462601017273
"[1, 0, 1, 1, 0]",258917,109612,149305,10359,14136,0.0945060759770828,0.09467867787415023
