state,n,nA,nB,rewardA,rewardB,mn_rewardA,mn_rewardB
"[1, 0, 0, 0, 0, 1, 0, 1, 1, 1]",184,79,105,5,11,0.06329113924050633,0.10476190476190476
"[1, 1, 1, 0, 0, 0, 0, 1, 0, 0]",191,78,113,5,7,0.0641025641025641,0.061946902654867256
"[1, 1, 1, 1, 1, 0, 0, 0, 0, 1]",468,137,331,8,22,0.058394160583941604,0.06646525679758308
"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",700,354,346,38,28,0.10734463276836158,0.08092485549132948
"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",565,278,287,29,26,0.10431654676258993,0.09059233449477352
"[1, 0, 0, 0, 1, 1, 0, 0, 1, 0]",135,69,66,4,4,0.057971014492753624,0.06060606060606061
"[1, 1, 1, 1, 0, 0, 0, 1, 1, 0]",220,107,113,9,12,0.08411214953271028,0.10619469026548672
"[0, 0, 1, 1, 1, 1, 0, 0, 0, 1]",219,111,108,15,6,0.13513513513513514,0.05555555555555555
"[1, 0, 1, 1, 1, 0, 1, 0, 1, 1]",138,72,66,4,8,0.05555555555555555,0.12121212121212122
"[0, 0, 0, 0, 0, 1, 1, 0, 1, 1]",193,108,85,10,6,0.09259259259259259,0.07058823529411765
"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",213,116,97,10,10,0.08620689655172414,0.10309278350515463
"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",157,75,82,5,11,0.06666666666666667,0.13414634146341464
"[0, 0, 1, 1, 0, 0, 1, 1, 0, 0]",658,319,339,29,26,0.09090909090909091,0.07669616519174041
"[1, 0, 1, 0, 0, 1, 1, 0, 0, 1]",218,104,114,10,10,0.09615384615384616,0.08771929824561403
"[0, 0, 1, 1, 0, 1, 0, 0, 1, 1]",196,111,85,11,6,0.0990990990990991,0.07058823529411765
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",166,75,91,11,9,0.14666666666666667,0.0989010989010989
"[0, 1, 0, 0, 1, 0, 1, 1, 0, 0]",188,92,96,5,11,0.05434782608695652,0.11458333333333333
"[1, 0, 1, 0, 0, 1, 0, 1, 1, 0]",159,77,82,4,8,0.05194805194805195,0.0975609756097561
"[1, 0, 0, 0, 0, 0, 0, 1, 1, 1]",479,143,336,11,29,0.07692307692307693,0.08630952380952381
"[1, 1, 1, 0, 0, 0, 0, 0, 0, 1]",450,131,319,15,33,0.11450381679389313,0.10344827586206896
"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",474,325,149,22,9,0.06769230769230769,0.06040268456375839
"[0, 0, 0, 1, 1, 1, 1, 1, 1, 0]",505,381,124,34,16,0.08923884514435695,0.12903225806451613
"[1, 1, 0, 0, 0, 0, 1, 1, 1, 1]",661,351,310,30,23,0.08547008547008547,0.07419354838709677
"[1, 1, 1, 0, 0, 0, 0, 1, 1, 1]",454,143,311,17,29,0.11888111888111888,0.0932475884244373
"[1, 0, 0, 0, 0, 1, 0, 0, 1, 0]",155,76,79,4,6,0.05263157894736842,0.0759493670886076
"[1, 1, 0, 1, 1, 0, 1, 0, 0, 1]",163,81,82,5,11,0.06172839506172839,0.13414634146341464
"[0, 0, 1, 0, 1, 0, 1, 0, 0, 1]",159,80,79,7,5,0.0875,0.06329113924050633
"[1, 0, 1, 0, 0, 0, 1, 0, 1, 0]",148,68,80,4,4,0.058823529411764705,0.05
"[1, 1, 0, 1, 0, 0, 0, 1, 0, 1]",141,65,76,6,6,0.09230769230769231,0.07894736842105263
