w,genre,1,2,3,4,5,6,7,8,9
5,Action,0.2,0.24,0.28,0.32,0.34,0.42,0.52,0.56,0.64
5,Adventure,0.0,0.02,0.22,0.27,0.53,0.75,0.78,0.8,0.82
5,Comedy,0.01,0.03,0.09,0.15,0.25,0.39,0.44,0.46,0.59
5,Drama,0.63,0.74,0.77,0.86,0.93,0.95,0.95,0.96,0.97
5,Thriller,0.0,0.01,0.16,0.23,0.39,0.56,0.64,0.66,0.8
10,Action,0.06,0.14,0.15,0.23,0.3,0.47,0.61,0.68,0.72
10,Adventure,0.0,0.01,0.33,0.39,0.56,0.63,0.64,0.68,0.78
10,Comedy,0.1,0.23,0.23,0.31,0.42,0.64,0.72,0.86,0.89
10,Drama,0.73,0.8,0.82,0.88,0.93,0.94,0.97,0.97,0.99
10,Thriller,0.06,0.13,0.2,0.31,0.54,0.71,0.78,0.8,0.84
15,Action,0.0,0.1,0.11,0.28,0.44,0.68,0.83,0.88,0.9
15,Adventure,0.03,0.03,0.52,0.6,0.72,0.76,0.76,0.82,0.88
15,Comedy,0.2,0.3,0.31,0.54,0.68,0.9,0.93,0.97,0.97
15,Drama,0.69,0.79,0.83,0.87,0.93,0.93,0.96,0.96,0.98
15,Thriller,0.04,0.09,0.24,0.47,0.75,0.89,0.92,0.92,0.93
